Date,Hour,Song Name
2024-01-01,13,The Less I Know the Better - Tame Impala
2024-01-01,13,Sinking Feeling - Weyes Blood
2024-01-01,14,Somebody That I Used to Know - Gotye
2024-01-01,14,Bohemian Rhapsody - Queen
2024-01-01,14,Bohemian Rhapsody - Queen
2024-01-01,14,Bohemian Rhapsody - Queen
2024-01-01,14,Angel - The 1975
2024-01-01,15,Angel - The 1975
2024-01-01,16,Angel - The 1975
2024-01-01,16,Bad Guy - Billie Eilish
2024-01-01,16,Angel - The 1975
2024-01-01,16,Angel - The 1975
2024-01-01,16,Angel - The 1975
2024-01-01,17,Seventeen Going Under - Sam Fender
2024-01-01,17,Roslyn - Bon Iver & St. Vincent
2024-01-01,17,Shape of You - Ed Sheeran
2024-01-01,17,Blinding Lights - The Weeknd
2024-01-01,17,Drivers License - Olivia Rodrigo
2024-01-01,17,Shape of You - Ed Sheeran
2024-01-01,17,Mr. Brightside - The Killers
2024-01-01,18,Angel - The 1975
2024-01-01,18,Roslyn - Bon Iver & St. Vincent
2024-01-01,18,Levitating - Dua Lipa
2024-01-01,19,Rolling in the Deep - Adele
2024-01-01,19,Motion Sickness - Phoebe Bridgers
2024-01-01,19,Somebody That I Used to Know - Gotye
2024-01-01,19,Roslyn - Bon Iver & St. Vincent
2024-01-01,19,Shape of You - Ed Sheeran
2024-01-01,19,Happier Than Ever - Billie Eilish
2024-01-01,20,Seventeen Going Under - Sam Fender
2024-01-01,20,Sinking Feeling - Weyes Blood
2024-01-01,20,Angel - The 1975
2024-01-01,21,The Less I Know the Better - Tame Impala
2024-01-01,21,Blinding Lights - The Weeknd
2024-01-01,21,Shape of You - Ed Sheeran
2024-01-01,22,Bohemian Rhapsody - Queen
2024-01-01,22,Peaches - Justin Bieber
2024-01-01,22,Drivers License - Olivia Rodrigo
2024-01-01,23,Seventeen Going Under - Sam Fender
2024-01-01,23,Peaches - Justin Bieber
2024-01-01,23,Roslyn - Bon Iver & St. Vincent
2024-01-01,23,Sinking Feeling - Weyes Blood
2024-01-01,23,Somebody That I Used to Know - Gotye
2024-01-01,23,Bad Guy - Billie Eilish
2024-01-02,0,Sinking Feeling - Weyes Blood
2024-01-02,0,Shape of You - Ed Sheeran
2024-01-02,0,Retrograde - James Blake
2024-01-02,1,Sinking Feeling - Weyes Blood
2024-01-02,1,Shape of You - Ed Sheeran
2024-01-02,1,Bohemian Rhapsody - Queen
2024-01-02,1,Happier Than Ever - Billie Eilish
2024-01-02,2,Motion Sickness - Phoebe Bridgers
2024-01-02,2,Bohemian Rhapsody - Queen
2024-01-02,2,Motion Sickness - Phoebe Bridgers
2024-01-02,2,The Less I Know the Better - Tame Impala
2024-01-02,3,Motion Sickness - Phoebe Bridgers
2024-01-02,3,Bohemian Rhapsody - Queen
2024-01-02,3,Somebody That I Used to Know - Gotye
2024-01-02,3,Bohemian Rhapsody - Queen
2024-01-02,4,Rolling in the Deep - Adele
2024-01-02,4,Peaches - Justin Bieber
2024-01-02,5,Seventeen Going Under - Sam Fender
2024-01-02,5,Blinding Lights - The Weeknd
2024-01-02,6,Peaches - Justin Bieber
2024-01-02,6,Blinding Lights - The Weeknd
2024-01-02,6,Somebody That I Used to Know - Gotye
2024-01-02,7,Bohemian Rhapsody - Queen
2024-01-02,7,Levitating - Dua Lipa
2024-01-02,7,Drivers License - Olivia Rodrigo
2024-01-02,7,Kyoto - Phoebe Bridgers
2024-01-02,8,First Love / Late Spring - Mitski
2024-01-02,8,Blinding Lights - The Weeknd
2024-01-02,8,Mr. Brightside - The Killers
2024-01-02,8,Blinding Lights - The Weeknd
2024-01-02,9,Happier Than Ever - Billie Eilish
2024-01-02,9,Peaches - Justin Bieber
2024-01-02,10,Rolling in the Deep - Adele
2024-01-02,10,The Less I Know the Better - Tame Impala
2024-01-02,10,Bohemian Rhapsody - Queen
2024-01-02,10,Bohemian Rhapsody - Queen
2024-01-02,11,Bad Guy - Billie Eilish
2024-01-02,11,Seventeen Going Under - Sam Fender
2024-01-02,11,Sinking Feeling - Weyes Blood
2024-01-02,11,Shape of You - Ed Sheeran
2024-01-02,12,First Love / Late Spring - Mitski
2024-01-02,12,First Love / Late Spring - Mitski
2024-01-02,12,Bad Guy - Billie Eilish
2024-01-02,12,Levitating - Dua Lipa
2024-01-02,13,Bohemian Rhapsody - Queen
2024-01-02,13,Sinking Feeling - Weyes Blood
2024-01-02,13,Sinking Feeling - Weyes Blood
2024-01-02,13,Bohemian Rhapsody - Queen
2024-01-02,13,Angel - The 1975
2024-01-02,14,Happier Than Ever - Billie Eilish
2024-01-02,14,Shape of You - Ed Sheeran
2024-01-02,14,Seventeen Going Under - Sam Fender
2024-01-02,14,The Less I Know the Better - Tame Impala
2024-01-02,14,Kyoto - Phoebe Bridgers
2024-01-02,15,Happier Than Ever - Billie Eilish
2024-01-02,15,Retrograde - James Blake
2024-01-02,15,Retrograde - James Blake
2024-01-02,15,First Love / Late Spring - Mitski
2024-01-02,16,Somebody That I Used to Know - Gotye
2024-01-02,16,Shape of You - Ed Sheeran
2024-01-02,16,Mr. Brightside - The Killers
2024-01-02,16,Drivers License - Olivia Rodrigo
2024-01-02,16,Motion Sickness - Phoebe Bridgers
2024-01-02,16,Blinding Lights - The Weeknd
2024-01-02,17,Kyoto - Phoebe Bridgers
2024-01-02,18,Motion Sickness - Phoebe Bridgers
2024-01-02,18,The Less I Know the Better - Tame Impala
2024-01-02,18,Somebody That I Used to Know - Gotye
2024-01-02,18,Mr. Brightside - The Killers
2024-01-02,18,Levitating - Dua Lipa
2024-01-02,19,The Less I Know the Better - Tame Impala
2024-01-02,19,Seventeen Going Under - Sam Fender
2024-01-02,19,The Less I Know the Better - Tame Impala
2024-01-02,19,Peaches - Justin Bieber
2024-01-02,19,First Love / Late Spring - Mitski
2024-01-02,19,Motion Sickness - Phoebe Bridgers
2024-01-02,19,Bad Guy - Billie Eilish
2024-01-02,19,Roslyn - Bon Iver & St. Vincent
2024-01-02,19,Somebody That I Used to Know - Gotye
2024-01-02,20,Angel - The 1975
2024-01-02,20,Somebody That I Used to Know - Gotye
2024-01-02,20,Somebody That I Used to Know - Gotye
2024-01-02,20,Shape of You - Ed Sheeran
2024-01-02,20,Kyoto - Phoebe Bridgers
2024-01-02,21,Drivers License - Olivia Rodrigo
2024-01-02,21,Somebody That I Used to Know - Gotye
2024-01-02,21,Retrograde - James Blake
2024-01-02,21,Drivers License - Olivia Rodrigo
2024-01-02,22,Kyoto - Phoebe Bridgers
2024-01-02,22,Roslyn - Bon Iver & St. Vincent
2024-01-02,23,First Love / Late Spring - Mitski
2024-01-03,0,Seventeen Going Under - Sam Fender
2024-01-03,0,Somebody That I Used to Know - Gotye
2024-01-03,0,Shape of You - Ed Sheeran
2024-01-03,0,Somebody That I Used to Know - Gotye
2024-01-03,0,Drivers License - Olivia Rodrigo
2024-01-03,0,Drivers License - Olivia Rodrigo
2024-01-03,0,Shape of You - Ed Sheeran
2024-01-03,0,Bohemian Rhapsody - Queen
2024-01-03,1,Rolling in the Deep - Adele
2024-01-03,1,Sinking Feeling - Weyes Blood
2024-01-03,1,Sinking Feeling - Weyes Blood
2024-01-03,2,Seventeen Going Under - Sam Fender
2024-01-03,2,The Less I Know the Better - Tame Impala
2024-01-03,2,Mr. Brightside - The Killers
2024-01-03,2,Bad Guy - Billie Eilish
2024-01-03,2,Retrograde - James Blake
2024-01-03,2,Drivers License - Olivia Rodrigo
2024-01-03,2,Angel - The 1975
2024-01-03,2,Angel - The 1975
2024-01-03,3,Bohemian Rhapsody - Queen
2024-01-03,3,Drivers License - Olivia Rodrigo
2024-01-03,3,Motion Sickness - Phoebe Bridgers
2024-01-03,3,Retrograde - James Blake
2024-01-03,3,Angel - The 1975
2024-01-03,4,Motion Sickness - Phoebe Bridgers
2024-01-03,4,Retrograde - James Blake
2024-01-03,4,Roslyn - Bon Iver & St. Vincent
2024-01-03,4,First Love / Late Spring - Mitski
2024-01-03,5,Retrograde - James Blake
2024-01-03,5,Bohemian Rhapsody - Queen
2024-01-03,5,Bad Guy - Billie Eilish
2024-01-03,5,Somebody That I Used to Know - Gotye
2024-01-03,5,Mr. Brightside - The Killers
2024-01-03,5,Sinking Feeling - Weyes Blood
2024-01-03,5,Blinding Lights - The Weeknd
2024-01-03,5,The Less I Know the Better - Tame Impala
2024-01-03,6,Seventeen Going Under - Sam Fender
2024-01-03,6,Mr. Brightside - The Killers
2024-01-03,6,First Love / Late Spring - Mitski
2024-01-03,6,Sinking Feeling - Weyes Blood
2024-01-03,6,Seventeen Going Under - Sam Fender
2024-01-03,7,The Less I Know the Better - Tame Impala
2024-01-03,7,Bohemian Rhapsody - Queen
2024-01-03,7,Mr. Brightside - The Killers
2024-01-03,7,Mr. Brightside - The Killers
2024-01-03,7,Levitating - Dua Lipa
2024-01-03,7,Angel - The 1975
2024-01-03,7,Drivers License - Olivia Rodrigo
2024-01-03,8,Somebody That I Used to Know - Gotye
2024-01-03,8,Retrograde - James Blake
2024-01-03,9,Seventeen Going Under - Sam Fender
2024-01-03,9,Kyoto - Phoebe Bridgers
2024-01-03,9,Somebody That I Used to Know - Gotye
2024-01-03,9,Bohemian Rhapsody - Queen
2024-01-03,9,Angel - The 1975
2024-01-03,9,Retrograde - James Blake
2024-01-03,10,Blinding Lights - The Weeknd
2024-01-03,10,Bad Guy - Billie Eilish
2024-01-03,10,First Love / Late Spring - Mitski
2024-01-03,11,Kyoto - Phoebe Bridgers
2024-01-03,11,Sinking Feeling - Weyes Blood
2024-01-03,11,Levitating - Dua Lipa
2024-01-03,11,Somebody That I Used to Know - Gotye
2024-01-03,11,Retrograde - James Blake
2024-01-03,11,Drivers License - Olivia Rodrigo
2024-01-03,11,Bad Guy - Billie Eilish
2024-01-03,11,The Less I Know the Better - Tame Impala
2024-01-03,11,Drivers License - Olivia Rodrigo
2024-01-03,11,Somebody That I Used to Know - Gotye
2024-01-03,11,Rolling in the Deep - Adele
2024-01-03,12,Mr. Brightside - The Killers
2024-01-03,12,Blinding Lights - The Weeknd
2024-01-03,12,Roslyn - Bon Iver & St. Vincent
2024-01-03,12,Peaches - Justin Bieber
2024-01-03,12,First Love / Late Spring - Mitski
2024-01-03,13,Angel - The 1975
2024-01-03,13,Blinding Lights - The Weeknd
2024-01-03,13,Motion Sickness - Phoebe Bridgers
2024-01-03,13,Angel - The 1975
2024-01-03,13,Happier Than Ever - Billie Eilish
2024-01-03,13,Sinking Feeling - Weyes Blood
2024-01-03,13,Blinding Lights - The Weeknd
2024-01-03,13,Roslyn - Bon Iver & St. Vincent
2024-01-03,13,Happier Than Ever - Billie Eilish
2024-01-03,14,Angel - The 1975
2024-01-03,14,Blinding Lights - The Weeknd
2024-01-03,14,Somebody That I Used to Know - Gotye
2024-01-03,14,Mr. Brightside - The Killers
2024-01-03,14,Sinking Feeling - Weyes Blood
2024-01-03,14,Sinking Feeling - Weyes Blood
2024-01-03,14,Motion Sickness - Phoebe Bridgers
2024-01-03,15,Seventeen Going Under - Sam Fender
2024-01-03,15,Angel - The 1975
2024-01-03,15,Drivers License - Olivia Rodrigo
2024-01-03,15,Shape of You - Ed Sheeran
2024-01-03,15,Shape of You - Ed Sheeran
2024-01-03,15,Kyoto - Phoebe Bridgers
2024-01-03,15,Drivers License - Olivia Rodrigo
2024-01-03,15,Shape of You - Ed Sheeran
2024-01-03,16,Bad Guy - Billie Eilish
2024-01-03,16,Bad Guy - Billie Eilish
2024-01-03,16,Happier Than Ever - Billie Eilish
2024-01-03,17,Somebody That I Used to Know - Gotye
2024-01-03,17,The Less I Know the Better - Tame Impala
2024-01-03,17,The Less I Know the Better - Tame Impala
2024-01-03,17,Mr. Brightside - The Killers
2024-01-03,17,Peaches - Justin Bieber
2024-01-03,17,Shape of You - Ed Sheeran
2024-01-03,17,Drivers License - Olivia Rodrigo
2024-01-03,17,Blinding Lights - The Weeknd
2024-01-03,17,Angel - The 1975
2024-01-03,18,Shape of You - Ed Sheeran
2024-01-03,18,Bad Guy - Billie Eilish
2024-01-03,18,Motion Sickness - Phoebe Bridgers
2024-01-03,18,Retrograde - James Blake
2024-01-03,18,The Less I Know the Better - Tame Impala
2024-01-03,18,Sinking Feeling - Weyes Blood
2024-01-03,19,Bohemian Rhapsody - Queen
2024-01-03,19,Blinding Lights - The Weeknd
2024-01-03,19,Motion Sickness - Phoebe Bridgers
2024-01-03,19,Seventeen Going Under - Sam Fender
2024-01-03,20,Shape of You - Ed Sheeran
2024-01-03,20,Motion Sickness - Phoebe Bridgers
2024-01-03,20,Roslyn - Bon Iver & St. Vincent
2024-01-03,20,Angel - The 1975
2024-01-03,20,Sinking Feeling - Weyes Blood
2024-01-03,20,Bohemian Rhapsody - Queen
2024-01-03,20,Bad Guy - Billie Eilish
2024-01-03,21,Bohemian Rhapsody - Queen
2024-01-03,21,Angel - The 1975
2024-01-03,21,Kyoto - Phoebe Bridgers
2024-01-03,21,Seventeen Going Under - Sam Fender
2024-01-03,21,Motion Sickness - Phoebe Bridgers
2024-01-03,21,Blinding Lights - The Weeknd
2024-01-03,21,Roslyn - Bon Iver & St. Vincent
2024-01-03,22,Somebody That I Used to Know - Gotye
2024-01-03,22,Peaches - Justin Bieber
2024-01-03,22,Seventeen Going Under - Sam Fender
2024-01-03,23,Angel - The 1975
2024-01-03,23,Kyoto - Phoebe Bridgers
2024-01-03,23,Seventeen Going Under - Sam Fender
2024-01-03,23,Peaches - Justin Bieber
2024-01-03,23,Motion Sickness - Phoebe Bridgers
2024-01-03,23,Rolling in the Deep - Adele
2024-01-03,23,Levitating - Dua Lipa
2024-01-03,23,First Love / Late Spring - Mitski
2024-01-04,0,Sinking Feeling - Weyes Blood
2024-01-04,0,Happier Than Ever - Billie Eilish
2024-01-04,0,Drivers License - Olivia Rodrigo
2024-01-04,0,Bohemian Rhapsody - Queen
2024-01-04,0,Angel - The 1975
2024-01-04,0,Shape of You - Ed Sheeran
2024-01-04,0,Rolling in the Deep - Adele
2024-01-04,0,Blinding Lights - The Weeknd
2024-01-04,0,Sinking Feeling - Weyes Blood
2024-01-04,0,Angel - The 1975
2024-01-04,1,Peaches - Justin Bieber
2024-01-04,1,Drivers License - Olivia Rodrigo
2024-01-04,1,Shape of You - Ed Sheeran
2024-01-04,1,Mr. Brightside - The Killers
2024-01-04,1,Motion Sickness - Phoebe Bridgers
2024-01-04,2,Mr. Brightside - The Killers
2024-01-04,2,Happier Than Ever - Billie Eilish
2024-01-04,2,Mr. Brightside - The Killers
2024-01-04,2,Happier Than Ever - Billie Eilish
2024-01-04,2,Somebody That I Used to Know - Gotye
2024-01-04,3,Bohemian Rhapsody - Queen
2024-01-04,3,Shape of You - Ed Sheeran
2024-01-04,3,Mr. Brightside - The Killers
2024-01-04,3,Levitating - Dua Lipa
2024-01-04,3,Drivers License - Olivia Rodrigo
2024-01-04,3,Happier Than Ever - Billie Eilish
2024-01-04,3,Rolling in the Deep - Adele
2024-01-04,3,Drivers License - Olivia Rodrigo
2024-01-04,4,Blinding Lights - The Weeknd
2024-01-04,4,Motion Sickness - Phoebe Bridgers
2024-01-04,4,Drivers License - Olivia Rodrigo
2024-01-04,5,Blinding Lights - The Weeknd
2024-01-04,5,Happier Than Ever - Billie Eilish
2024-01-04,5,Angel - The 1975
2024-01-04,5,Peaches - Justin Bieber
2024-01-04,6,Levitating - Dua Lipa
2024-01-04,6,Bohemian Rhapsody - Queen
2024-01-04,6,Angel - The 1975
2024-01-04,7,Mr. Brightside - The Killers
2024-01-04,7,Angel - The 1975
2024-01-04,7,Retrograde - James Blake
2024-01-04,7,Mr. Brightside - The Killers
2024-01-04,7,The Less I Know the Better - Tame Impala
2024-01-04,7,Somebody That I Used to Know - Gotye
2024-01-04,7,Motion Sickness - Phoebe Bridgers
2024-01-04,7,Somebody That I Used to Know - Gotye
2024-01-04,7,Motion Sickness - Phoebe Bridgers
2024-01-04,7,Peaches - Justin Bieber
2024-01-04,8,Retrograde - James Blake
2024-01-04,8,Roslyn - Bon Iver & St. Vincent
2024-01-04,8,Bohemian Rhapsody - Queen
2024-01-04,8,Retrograde - James Blake
2024-01-04,8,Shape of You - Ed Sheeran
2024-01-04,9,Levitating - Dua Lipa
2024-01-04,9,Happier Than Ever - Billie Eilish
2024-01-04,9,Bad Guy - Billie Eilish
2024-01-04,9,Bad Guy - Billie Eilish
2024-01-04,9,Roslyn - Bon Iver & St. Vincent
2024-01-04,9,Angel - The 1975
2024-01-04,9,Somebody That I Used to Know - Gotye
2024-01-04,9,Mr. Brightside - The Killers
2024-01-04,10,Angel - The 1975
2024-01-04,10,Kyoto - Phoebe Bridgers
2024-01-04,10,Mr. Brightside - The Killers
2024-01-04,10,Seventeen Going Under - Sam Fender
2024-01-04,10,Bohemian Rhapsody - Queen
2024-01-04,10,Seventeen Going Under - Sam Fender
2024-01-04,10,Peaches - Justin Bieber
2024-01-04,10,Happier Than Ever - Billie Eilish
2024-01-04,11,Rolling in the Deep - Adele
2024-01-04,11,Bohemian Rhapsody - Queen
2024-01-04,11,Roslyn - Bon Iver & St. Vincent
2024-01-04,11,The Less I Know the Better - Tame Impala
2024-01-04,11,Kyoto - Phoebe Bridgers
2024-01-04,12,Shape of You - Ed Sheeran
2024-01-04,12,Rolling in the Deep - Adele
2024-01-04,12,Angel - The 1975
2024-01-04,12,Blinding Lights - The Weeknd
2024-01-04,12,Bad Guy - Billie Eilish
2024-01-04,12,Bad Guy - Billie Eilish
2024-01-04,12,Bohemian Rhapsody - Queen
2024-01-04,12,The Less I Know the Better - Tame Impala
2024-01-04,13,First Love / Late Spring - Mitski
2024-01-04,13,Peaches - Justin Bieber
2024-01-04,13,Kyoto - Phoebe Bridgers
2024-01-04,13,Bad Guy - Billie Eilish
2024-01-04,13,Roslyn - Bon Iver & St. Vincent
2024-01-04,13,Retrograde - James Blake
2024-01-04,14,Motion Sickness - Phoebe Bridgers
2024-01-04,14,Bohemian Rhapsody - Queen
2024-01-04,14,Bohemian Rhapsody - Queen
2024-01-04,14,Levitating - Dua Lipa
2024-01-04,14,First Love / Late Spring - Mitski
2024-01-04,15,Roslyn - Bon Iver & St. Vincent
2024-01-04,15,Mr. Brightside - The Killers
2024-01-04,15,Kyoto - Phoebe Bridgers
2024-01-04,15,Motion Sickness - Phoebe Bridgers
2024-01-04,16,First Love / Late Spring - Mitski
2024-01-04,16,Kyoto - Phoebe Bridgers
2024-01-04,16,Somebody That I Used to Know - Gotye
2024-01-04,17,Roslyn - Bon Iver & St. Vincent
2024-01-04,17,Bad Guy - Billie Eilish
2024-01-04,17,Shape of You - Ed Sheeran
2024-01-04,17,Levitating - Dua Lipa
2024-01-04,18,Angel - The 1975
2024-01-04,18,Motion Sickness - Phoebe Bridgers
2024-01-04,18,Bad Guy - Billie Eilish
2024-01-04,18,Rolling in the Deep - Adele
2024-01-04,18,Bohemian Rhapsody - Queen
2024-01-04,18,Peaches - Justin Bieber
2024-01-04,19,Kyoto - Phoebe Bridgers
2024-01-04,19,Bohemian Rhapsody - Queen
2024-01-04,19,Roslyn - Bon Iver & St. Vincent
2024-01-04,19,Angel - The 1975
2024-01-04,20,Peaches - Justin Bieber
2024-01-04,20,The Less I Know the Better - Tame Impala
2024-01-04,20,Bohemian Rhapsody - Queen
2024-01-04,20,First Love / Late Spring - Mitski
2024-01-04,20,Happier Than Ever - Billie Eilish
2024-01-04,21,Sinking Feeling - Weyes Blood
2024-01-04,21,Sinking Feeling - Weyes Blood
2024-01-04,21,Mr. Brightside - The Killers
2024-01-04,21,Kyoto - Phoebe Bridgers
2024-01-04,21,Kyoto - Phoebe Bridgers
2024-01-04,22,Rolling in the Deep - Adele
2024-01-04,23,Blinding Lights - The Weeknd
2024-01-04,23,Happier Than Ever - Billie Eilish
2024-01-04,23,Blinding Lights - The Weeknd
2024-01-04,23,Happier Than Ever - Billie Eilish
2024-01-04,23,First Love / Late Spring - Mitski
2024-01-04,23,Retrograde - James Blake
2024-01-05,0,Seventeen Going Under - Sam Fender
2024-01-05,0,Motion Sickness - Phoebe Bridgers
2024-01-05,0,Drivers License - Olivia Rodrigo
2024-01-05,0,Sinking Feeling - Weyes Blood
2024-01-05,0,Motion Sickness - Phoebe Bridgers
2024-01-05,0,Somebody That I Used to Know - Gotye
2024-01-05,1,Peaches - Justin Bieber
2024-01-05,1,Mr. Brightside - The Killers
2024-01-05,1,The Less I Know the Better - Tame Impala
2024-01-05,1,Rolling in the Deep - Adele
2024-01-05,1,Retrograde - James Blake
2024-01-05,1,Angel - The 1975
2024-01-05,1,Bad Guy - Billie Eilish
2024-01-05,1,Mr. Brightside - The Killers
2024-01-05,2,Retrograde - James Blake
2024-01-05,2,Motion Sickness - Phoebe Bridgers
2024-01-05,2,Blinding Lights - The Weeknd
2024-01-05,2,Shape of You - Ed Sheeran
2024-01-05,4,The Less I Know the Better - Tame Impala
2024-01-05,4,Bad Guy - Billie Eilish
2024-01-05,4,Peaches - Justin Bieber
2024-01-05,4,Kyoto - Phoebe Bridgers
2024-01-05,4,Sinking Feeling - Weyes Blood
2024-01-05,4,Seventeen Going Under - Sam Fender
2024-01-05,4,Shape of You - Ed Sheeran
2024-01-05,5,Peaches - Justin Bieber
2024-01-05,5,Peaches - Justin Bieber
2024-01-05,5,Somebody That I Used to Know - Gotye
2024-01-05,5,Bohemian Rhapsody - Queen
2024-01-05,6,Kyoto - Phoebe Bridgers
2024-01-05,6,Happier Than Ever - Billie Eilish
2024-01-05,6,Peaches - Justin Bieber
2024-01-05,6,Motion Sickness - Phoebe Bridgers
2024-01-05,6,Happier Than Ever - Billie Eilish
2024-01-05,7,Sinking Feeling - Weyes Blood
2024-01-05,7,Angel - The 1975
2024-01-05,7,Rolling in the Deep - Adele
2024-01-05,7,Bad Guy - Billie Eilish
2024-01-05,7,Shape of You - Ed Sheeran
2024-01-05,7,Roslyn - Bon Iver & St. Vincent
2024-01-05,7,First Love / Late Spring - Mitski
2024-01-05,7,Blinding Lights - The Weeknd
2024-01-05,7,Motion Sickness - Phoebe Bridgers
2024-01-05,7,Blinding Lights - The Weeknd
2024-01-05,8,Bohemian Rhapsody - Queen
2024-01-05,8,Roslyn - Bon Iver & St. Vincent
2024-01-05,8,Kyoto - Phoebe Bridgers
2024-01-05,8,Bohemian Rhapsody - Queen
2024-01-05,8,Shape of You - Ed Sheeran
2024-01-05,9,Rolling in the Deep - Adele
2024-01-05,9,Kyoto - Phoebe Bridgers
2024-01-05,9,Mr. Brightside - The Killers
2024-01-05,9,Levitating - Dua Lipa
2024-01-05,9,Kyoto - Phoebe Bridgers
2024-01-05,9,Mr. Brightside - The Killers
2024-01-05,10,Sinking Feeling - Weyes Blood
2024-01-05,10,Peaches - Justin Bieber
2024-01-05,10,Seventeen Going Under - Sam Fender
2024-01-05,11,Peaches - Justin Bieber
2024-01-05,11,Bad Guy - Billie Eilish
2024-01-05,11,Angel - The 1975
2024-01-05,11,Blinding Lights - The Weeknd
2024-01-05,11,Shape of You - Ed Sheeran
2024-01-05,11,Seventeen Going Under - Sam Fender
2024-01-05,11,Happier Than Ever - Billie Eilish
2024-01-05,12,Retrograde - James Blake
2024-01-05,12,Kyoto - Phoebe Bridgers
2024-01-05,12,Rolling in the Deep - Adele
2024-01-05,12,Rolling in the Deep - Adele
2024-01-05,12,Rolling in the Deep - Adele
2024-01-05,12,Motion Sickness - Phoebe Bridgers
2024-01-05,13,Mr. Brightside - The Killers
2024-01-05,13,Peaches - Justin Bieber
2024-01-05,13,Motion Sickness - Phoebe Bridgers
2024-01-05,13,Peaches - Justin Bieber
2024-01-05,14,Bohemian Rhapsody - Queen
2024-01-05,14,Mr. Brightside - The Killers
2024-01-05,14,Kyoto - Phoebe Bridgers
2024-01-05,14,The Less I Know the Better - Tame Impala
2024-01-05,15,Angel - The 1975
2024-01-05,15,Roslyn - Bon Iver & St. Vincent
2024-01-05,15,Sinking Feeling - Weyes Blood
2024-01-05,15,Shape of You - Ed Sheeran
2024-01-05,16,Shape of You - Ed Sheeran
2024-01-05,16,Retrograde - James Blake
2024-01-05,16,Somebody That I Used to Know - Gotye
2024-01-05,16,Bohemian Rhapsody - Queen
2024-01-05,17,Angel - The 1975
2024-01-05,17,Somebody That I Used to Know - Gotye
2024-01-05,17,Seventeen Going Under - Sam Fender
2024-01-05,17,Bohemian Rhapsody - Queen
